~,pda_encyclopedia_name,st_data_export_stash_type,st_data_export_stash_chance,st_data_export_stash_ecos
upgr_o_2_armor,st_upgr_o_armor,st_data_export_stash_type_common,23%,1/2/3
upgr_o_2_armor,st_upgr_o_armor,st_data_export_stash_type_rare,30%,1/2/3
upgr_o_2_arty,st_upgr_o_arty,st_data_export_stash_type_common,18%,1/2/3
upgr_o_2_arty,st_upgr_o_arty,st_data_export_stash_type_rare,24%,1/2/3
upgr_o_2_bleed,st_upgr_o_bleed,st_data_export_stash_type_common,18%,1/2/3
upgr_o_2_bleed,st_upgr_o_bleed,st_data_export_stash_type_rare,24%,1/2/3
upgr_o_2_burn,st_upgr_o_burn,st_data_export_stash_type_common,23%,1/2/3
upgr_o_2_burn,st_upgr_o_burn,st_data_export_stash_type_rare,30%,1/2/3
upgr_o_2_carry,st_upgr_o_carry,st_data_export_stash_type_common,18%,1/2/3
upgr_o_2_carry,st_upgr_o_carry,st_data_export_stash_type_rare,24%,1/2/3
upgr_o_2_chem,st_upgr_o_chem,st_data_export_stash_type_common,23%,1/2/3
upgr_o_2_chem,st_upgr_o_chem,st_data_export_stash_type_rare,30%,1/2/3
upgr_o_2_damage,st_upgr_o_damage,st_data_export_stash_type_common,23%,1/2/3
upgr_o_2_damage,st_upgr_o_damage,st_data_export_stash_type_rare,30%,1/2/3
upgr_o_2_durability,st_upgr_o_durability,st_data_export_stash_type_common,23%,1/2/3
upgr_o_2_durability,st_upgr_o_durability,st_data_export_stash_type_rare,30%,1/2/3
upgr_o_2_health,st_upgr_o_health,st_data_export_stash_type_common,18%,1/2/3
upgr_o_2_health,st_upgr_o_health,st_data_export_stash_type_rare,24%,1/2/3
upgr_o_2_power,st_upgr_o_power,st_data_export_stash_type_common,23%,1/2/3
upgr_o_2_power,st_upgr_o_power,st_data_export_stash_type_rare,30%,1/2/3
upgr_o_2_psi,st_upgr_o_psi,st_data_export_stash_type_common,23%,1/2/3
upgr_o_2_psi,st_upgr_o_psi,st_data_export_stash_type_rare,30%,1/2/3
upgr_o_2_rad,st_upgr_o_rad,st_data_export_stash_type_common,23%,1/2/3
upgr_o_2_rad,st_upgr_o_rad,st_data_export_stash_type_rare,30%,1/2/3
upgr_o_2_run,st_upgr_o_run,st_data_export_stash_type_common,12%,1/2/3
upgr_o_2_run,st_upgr_o_run,st_data_export_stash_type_rare,20%,1/2/3
upgr_o_2_shock,st_upgr_o_shock,st_data_export_stash_type_common,23%,1/2/3
upgr_o_2_shock,st_upgr_o_shock,st_data_export_stash_type_rare,30%,1/2/3
upgr_o_2_weight,st_upgr_o_weight,st_data_export_stash_type_common,23%,1/2/3
upgr_o_2_weight,st_upgr_o_weight,st_data_export_stash_type_rare,30%,1/2/3
upgr_o_3_armor,st_upgr_o_armor,st_data_export_stash_type_common,18%,1/2/3
upgr_o_3_armor,st_upgr_o_armor,st_data_export_stash_type_rare,24%,1/2/3
upgr_o_3_arty,st_upgr_o_arty,st_data_export_stash_type_common,18%,1/2/3
upgr_o_3_arty,st_upgr_o_arty,st_data_export_stash_type_rare,24%,1/2/3
upgr_o_3_bleed,st_upgr_o_bleed,st_data_export_stash_type_common,12%,1/2/3
upgr_o_3_bleed,st_upgr_o_bleed,st_data_export_stash_type_rare,20%,1/2/3
upgr_o_3_burn,st_upgr_o_burn,st_data_export_stash_type_common,18%,1/2/3
upgr_o_3_burn,st_upgr_o_burn,st_data_export_stash_type_rare,24%,1/2/3
upgr_o_3_carry,st_upgr_o_carry,st_data_export_stash_type_common,18%,1/2/3
upgr_o_3_carry,st_upgr_o_carry,st_data_export_stash_type_rare,24%,1/2/3
upgr_o_3_chem,st_upgr_o_chem,st_data_export_stash_type_common,18%,1/2/3
upgr_o_3_chem,st_upgr_o_chem,st_data_export_stash_type_rare,24%,1/2/3
upgr_o_3_damage,st_upgr_o_damage,st_data_export_stash_type_common,18%,1/2/3
upgr_o_3_damage,st_upgr_o_damage,st_data_export_stash_type_rare,24%,1/2/3
upgr_o_3_durability,st_upgr_o_durability,st_data_export_stash_type_common,18%,1/2/3
upgr_o_3_durability,st_upgr_o_durability,st_data_export_stash_type_rare,24%,1/2/3
upgr_o_3_health,st_upgr_o_health,st_data_export_stash_type_common,12%,1/2/3
upgr_o_3_health,st_upgr_o_health,st_data_export_stash_type_rare,20%,1/2/3
upgr_o_3_power,st_upgr_o_power,st_data_export_stash_type_common,18%,1/2/3
upgr_o_3_power,st_upgr_o_power,st_data_export_stash_type_rare,24%,1/2/3
upgr_o_3_psi,st_upgr_o_psi,st_data_export_stash_type_common,18%,1/2/3
upgr_o_3_psi,st_upgr_o_psi,st_data_export_stash_type_rare,24%,1/2/3
upgr_o_3_rad,st_upgr_o_rad,st_data_export_stash_type_common,18%,1/2/3
upgr_o_3_rad,st_upgr_o_rad,st_data_export_stash_type_rare,24%,1/2/3
upgr_o_3_run,st_upgr_o_run,st_data_export_stash_type_common,12%,1/2/3
upgr_o_3_run,st_upgr_o_run,st_data_export_stash_type_rare,20%,1/2/3
upgr_o_3_shock,st_upgr_o_shock,st_data_export_stash_type_common,18%,1/2/3
upgr_o_3_shock,st_upgr_o_shock,st_data_export_stash_type_rare,24%,1/2/3
upgr_o_3_weight,st_upgr_o_weight,st_data_export_stash_type_common,18%,1/2/3
upgr_o_3_weight,st_upgr_o_weight,st_data_export_stash_type_rare,24%,1/2/3
upgr_w_1_calibre,st_upgr_w_calibre,st_data_export_stash_type_common,23%,1/2/3
upgr_w_1_calibre,st_upgr_w_calibre,st_data_export_stash_type_rare,30%,1/2/3
upgr_w_1_dispersion,st_upgr_w_dispersion,st_data_export_stash_type_common,24%,1/2/3
upgr_w_1_dispersion,st_upgr_w_dispersion,st_data_export_stash_type_rare,32%,1/2/3
upgr_w_1_firemode,st_upgr_w_firemode,st_data_export_stash_type_common,23%,1/2/3
upgr_w_1_firemode,st_upgr_w_firemode,st_data_export_stash_type_rare,30%,1/2/3
upgr_w_1_grenade_mount,st_upgr_w_grenade_mount,st_data_export_stash_type_common,23%,1/2/3
upgr_w_1_grenade_mount,st_upgr_w_grenade_mount,st_data_export_stash_type_rare,30%,1/2/3
upgr_w_1_inertion,st_upgr_w_inertion,st_data_export_stash_type_common,24%,1/2/3
upgr_w_1_inertion,st_upgr_w_inertion,st_data_export_stash_type_rare,32%,1/2/3
upgr_w_1_magazine,st_upgr_w_magazine,st_data_export_stash_type_common,23%,1/2/3
upgr_w_1_magazine,st_upgr_w_magazine,st_data_export_stash_type_rare,30%,1/2/3
upgr_w_1_muffle,st_upgr_w_muffle,st_data_export_stash_type_common,23%,1/2/3
upgr_w_1_muffle,st_upgr_w_muffle,st_data_export_stash_type_rare,30%,1/2/3
upgr_w_1_recoil,st_upgr_w_recoil,st_data_export_stash_type_common,24%,1/2/3
upgr_w_1_recoil,st_upgr_w_recoil,st_data_export_stash_type_rare,32%,1/2/3
upgr_w_1_reliability,st_upgr_w_reliability,st_data_export_stash_type_common,24%,1/2/3
upgr_w_1_reliability,st_upgr_w_reliability,st_data_export_stash_type_rare,32%,1/2/3
upgr_w_1_rpm,st_upgr_w_rpm,st_data_export_stash_type_common,24%,1/2/3
upgr_w_1_rpm,st_upgr_w_rpm,st_data_export_stash_type_rare,32%,1/2/3
upgr_w_1_scope,st_upgr_w_scope,st_data_export_stash_type_common,23%,1/2/3
upgr_w_1_scope,st_upgr_w_scope,st_data_export_stash_type_rare,30%,1/2/3
upgr_w_1_scope_mount,st_upgr_w_scope_mount,st_data_export_stash_type_common,24%,1/2/3
upgr_w_1_scope_mount,st_upgr_w_scope_mount,st_data_export_stash_type_rare,32%,1/2/3
upgr_w_1_speed,st_upgr_w_speed,st_data_export_stash_type_common,24%,1/2/3
upgr_w_1_speed,st_upgr_w_speed,st_data_export_stash_type_rare,32%,1/2/3
upgr_w_1_weight,st_upgr_w_weight,st_data_export_stash_type_common,23%,1/2/3
upgr_w_1_weight,st_upgr_w_weight,st_data_export_stash_type_rare,30%,1/2/3
upgr_w_2_calibre,st_upgr_w_calibre,st_data_export_stash_type_common,18%,1/2/3
upgr_w_2_calibre,st_upgr_w_calibre,st_data_export_stash_type_rare,24%,1/2/3
upgr_w_2_dispersion,st_upgr_w_dispersion,st_data_export_stash_type_common,23%,1/2/3
upgr_w_2_dispersion,st_upgr_w_dispersion,st_data_export_stash_type_rare,30%,1/2/3
upgr_w_2_firemode,st_upgr_w_firemode,st_data_export_stash_type_common,18%,1/2/3
upgr_w_2_firemode,st_upgr_w_firemode,st_data_export_stash_type_rare,24%,1/2/3
upgr_w_2_grenade_mount,st_upgr_w_grenade_mount,st_data_export_stash_type_common,18%,1/2/3
upgr_w_2_grenade_mount,st_upgr_w_grenade_mount,st_data_export_stash_type_rare,24%,1/2/3
upgr_w_2_inertion,st_upgr_w_inertion,st_data_export_stash_type_common,23%,1/2/3
upgr_w_2_inertion,st_upgr_w_inertion,st_data_export_stash_type_rare,30%,1/2/3
upgr_w_2_magazine,st_upgr_w_magazine,st_data_export_stash_type_common,18%,1/2/3
upgr_w_2_magazine,st_upgr_w_magazine,st_data_export_stash_type_rare,24%,1/2/3
upgr_w_2_muffle,st_upgr_w_muffle,st_data_export_stash_type_common,18%,1/2/3
upgr_w_2_muffle,st_upgr_w_muffle,st_data_export_stash_type_rare,24%,1/2/3
upgr_w_2_recoil,st_upgr_w_recoil,st_data_export_stash_type_common,23%,1/2/3
upgr_w_2_recoil,st_upgr_w_recoil,st_data_export_stash_type_rare,30%,1/2/3
upgr_w_2_reliability,st_upgr_w_reliability,st_data_export_stash_type_common,23%,1/2/3
upgr_w_2_reliability,st_upgr_w_reliability,st_data_export_stash_type_rare,30%,1/2/3
upgr_w_2_rpm,st_upgr_w_rpm,st_data_export_stash_type_common,23%,1/2/3
upgr_w_2_rpm,st_upgr_w_rpm,st_data_export_stash_type_rare,30%,1/2/3
upgr_w_2_scope,st_upgr_w_scope,st_data_export_stash_type_common,18%,1/2/3
upgr_w_2_scope,st_upgr_w_scope,st_data_export_stash_type_rare,24%,1/2/3
upgr_w_2_scope_mount,st_upgr_w_scope_mount,st_data_export_stash_type_common,23%,1/2/3
upgr_w_2_scope_mount,st_upgr_w_scope_mount,st_data_export_stash_type_rare,30%,1/2/3
upgr_w_2_speed,st_upgr_w_speed,st_data_export_stash_type_common,23%,1/2/3
upgr_w_2_speed,st_upgr_w_speed,st_data_export_stash_type_rare,30%,1/2/3
upgr_w_2_weight,st_upgr_w_weight,st_data_export_stash_type_common,18%,1/2/3
upgr_w_2_weight,st_upgr_w_weight,st_data_export_stash_type_rare,24%,1/2/3
upgr_w_3_calibre,st_upgr_w_calibre,st_data_export_stash_type_common,12%,1/2/3
upgr_w_3_calibre,st_upgr_w_calibre,st_data_export_stash_type_rare,20%,1/2/3
upgr_w_3_dispersion,st_upgr_w_dispersion,st_data_export_stash_type_common,18%,1/2/3
upgr_w_3_dispersion,st_upgr_w_dispersion,st_data_export_stash_type_rare,24%,1/2/3
upgr_w_3_firemode,st_upgr_w_firemode,st_data_export_stash_type_common,12%,1/2/3
upgr_w_3_firemode,st_upgr_w_firemode,st_data_export_stash_type_rare,20%,1/2/3
upgr_w_3_grenade_mount,st_upgr_w_grenade_mount,st_data_export_stash_type_common,12%,1/2/3
upgr_w_3_grenade_mount,st_upgr_w_grenade_mount,st_data_export_stash_type_rare,20%,1/2/3
upgr_w_3_inertion,st_upgr_w_inertion,st_data_export_stash_type_common,18%,1/2/3
upgr_w_3_inertion,st_upgr_w_inertion,st_data_export_stash_type_rare,24%,1/2/3
upgr_w_3_magazine,st_upgr_w_magazine,st_data_export_stash_type_common,12%,1/2/3
upgr_w_3_magazine,st_upgr_w_magazine,st_data_export_stash_type_rare,20%,1/2/3
upgr_w_3_muffle,st_upgr_w_muffle,st_data_export_stash_type_common,12%,1/2/3
upgr_w_3_muffle,st_upgr_w_muffle,st_data_export_stash_type_rare,20%,1/2/3
upgr_w_3_recoil,st_upgr_w_recoil,st_data_export_stash_type_common,18%,1/2/3
upgr_w_3_recoil,st_upgr_w_recoil,st_data_export_stash_type_rare,24%,1/2/3
upgr_w_3_reliability,st_upgr_w_reliability,st_data_export_stash_type_common,18%,1/2/3
upgr_w_3_reliability,st_upgr_w_reliability,st_data_export_stash_type_rare,24%,1/2/3
upgr_w_3_rpm,st_upgr_w_rpm,st_data_export_stash_type_common,18%,1/2/3
upgr_w_3_rpm,st_upgr_w_rpm,st_data_export_stash_type_rare,24%,1/2/3
upgr_w_3_scope,st_upgr_w_scope,st_data_export_stash_type_common,12%,1/2/3
upgr_w_3_scope,st_upgr_w_scope,st_data_export_stash_type_rare,20%,1/2/3
upgr_w_3_scope_mount,st_upgr_w_scope_mount,st_data_export_stash_type_common,18%,1/2/3
upgr_w_3_scope_mount,st_upgr_w_scope_mount,st_data_export_stash_type_rare,24%,1/2/3
upgr_w_3_speed,st_upgr_w_speed,st_data_export_stash_type_common,18%,1/2/3
upgr_w_3_speed,st_upgr_w_speed,st_data_export_stash_type_rare,24%,1/2/3
upgr_w_3_weight,st_upgr_w_weight,st_data_export_stash_type_common,12%,1/2/3
upgr_w_3_weight,st_upgr_w_weight,st_data_export_stash_type_rare,20%,1/2/3
vodka,st_vodka,st_data_export_stash_type_common,30%,1/2/3
vodka,st_vodka,st_data_export_stash_type_rare,60%,1/2/3
walkie,st_walkie,st_data_export_stash_type_common,75%,1/2/3
walkie,st_walkie,st_data_export_stash_type_rare,0.75%,1/2/3
welding_goggles,st_welding_goggles,st_data_export_stash_type_common,80%,1/2/3
welding_goggles,st_welding_goggles,st_data_export_stash_type_rare,0.80%,1/2/3
yadylin,st_yadylin,st_data_export_stash_type_common,32%,1/2/3
yadylin,st_yadylin,st_data_export_stash_type_rare,48%,1/2/3
